,data_1,data_2,data_3
80216,2.6994605,1.4160705,0.97850543
80217,3.0436277,1.3133429,0.3074233
80218,2.7228854,1.3866241,0.96575576
80219,3.26692,1.3264829,0.4933048
80220,3.1382499,1.430109,0.58877444
80221,3.0692127,0.6736502,1.1610854
80222,2.6848357,1.4144078,1.0044899
80223,3.2665422,1.324846,0.4926887
80224,3.2871966,1.4934181,0.026874952
80225,3.266306,1.3219624,0.48602188
80226,3.147054,1.4313929,0.5209067
80227,2.7799516,1.3956888,0.6618533
80228,2.7010095,1.3861552,0.9379879
80229,3.1608212,1.3085316,0.32043335
80230,3.2941375,1.3839641,0.35716677
80231,2.7219489,1.3852153,0.9521196
80232,3.2617996,1.3276163,0.5728575
80233,3.2216597,1.4817418,0.59006757
80234,2.8002949,1.4127725,0.70286983
80235,2.7022142,1.4103367,0.9476329
80236,3.1634877,1.3163651,0.3894634
80237,3.1609623,1.4663497,0.55222243
80238,2.7013159,1.4179416,0.9529059
80239,3.2953017,1.316376,0.4107465
80240,3.160756,1.452165,0.51618284
80241,2.7824957,1.3844653,0.6738808
80242,2.703194,1.3875542,0.9539032
80243,3.1555798,1.3464625,0.39872274
80244,3.1342928,1.4559733,0.62082523
80245,2.7043695,1.4405558,0.9006736
80246,3.2802987,1.295572,0.4239104
80247,3.17963,1.4776231,0.21515815
80248,2.805207,1.4278768,0.54386246
80249,2.7004051,1.4109885,1.0168974
80250,3.2601256,1.2978699,0.41214997
80251,2.6983075,1.4125574,0.9265165
80252,3.1489215,1.3812553,0.4762376
80253,3.1305964,1.467559,0.23184423
80254,2.957758,1.6351674,0.7564933
80255,2.7094202,1.44786,0.94011444
80256,3.242991,1.3241347,0.511048
80257,3.100486,1.4479593,0.1890954
80258,2.6822982,1.3927748,0.9389482
80259,3.0265698,1.3059669,0.29646075
80260,3.1524673,1.3890072,0.23719779
80261,2.833565,1.4560782,0.60889935
80262,2.7177222,1.408435,0.9375939
80263,3.0251951,1.3016188,0.29041794
80264,3.1161983,1.4414433,0.25879237
80265,2.6998713,1.4132015,0.9832905
80266,3.030316,1.2796221,0.3762399
80267,3.0181136,1.3650707,0.26262325
80268,2.8240867,1.4469733,0.61973137
80269,2.7019746,1.4141757,0.94546396
80270,3.0198874,1.3102595,0.48748222
80271,3.1100903,1.4417385,0.3477869
80272,2.7408433,1.4093727,0.93485636
80273,3.0050292,1.3225336,0.4636957
80274,3.1369915,1.4432096,0.24402188
80275,3.076326,1.6162257,0.83241194
80276,2.7017097,1.4153885,0.93816733
80277,3.0008879,1.3083029,0.44071743
80278,3.070886,1.4606996,0.41983765
80279,2.7010648,1.385992,0.95021254
80280,3.0085063,1.2737068,0.30701113
80281,3.1301486,1.4102724,0.272924
80282,2.7721345,1.5229663,0.6436645
80283,2.7197063,1.4133567,0.9263754
80284,3.0011382,1.3077102,0.3605126
80285,2.7009232,1.4142652,0.98053783
80286,3.0025198,1.3037485,0.32518205
80287,3.0711331,1.4859338,0.2678789
80288,3.0788214,0.6912408,1.16304
80289,2.7000093,1.4160818,0.9401165
80290,3.0285141,1.2719604,0.35330844
80291,3.0505126,1.4291451,0.2342527
80292,2.7006066,1.4172419,0.9427175
80293,3.010493,1.2331564,0.22608103
80294,3.0783393,1.4703513,0.33889335
80295,3.0831215,0.6921732,1.1367159
80296,3.0103853,1.2776108,0.30071607
80297,3.1248317,1.5865998,0.41786733
80298,2.6996176,1.426676,0.95277846
80299,3.0023682,1.3051338,0.3579558
80300,3.0652962,1.4893737,0.33476803
80301,3.053633,0.64480853,1.1445689
80302,2.6992168,1.4134786,0.95726156
80303,3.0003064,1.2982873,0.32213384
80304,3.0834622,1.4696633,0.2207203
80305,2.699439,1.4138588,0.94193834
80306,3.0508578,1.3080889,0.3581879
80307,3.083771,1.4716387,0.23179083
80308,3.0700908,0.6715074,1.141195
80309,2.6508036,1.3453912,0.8572458
80310,3.0262702,1.3037813,0.33677125
80311,3.0286012,1.4141215,0.29855123
80312,2.7007825,1.4137441,0.9478253
80313,3.0047975,1.3118237,0.37436837
80314,3.0853183,1.5063015,0.18646029
80315,3.0671864,0.70406675,1.1610928
80316,2.6804411,1.4186374,0.94626105
80317,3.0021462,1.3068845,0.38840806
80318,3.0957174,1.4865211,0.21977687
80319,2.7031004,1.3903152,0.96304405
80320,3.003002,1.3040577,0.34633762
80321,3.1236703,1.2984085,0.35884514
80322,2.9584074,1.5572783,0.8473545
80323,2.7210627,1.4170775,0.91530925
80324,3.0356035,1.3085529,0.3755684
80325,3.0718443,1.4469482,0.2530994
80326,2.6996326,1.4151134,0.96343595
80327,3.0171297,1.2433488,0.2705475
80328,3.066649,1.4499778,0.3427193
80329,3.0237947,1.5326446,0.85012376
80330,2.720359,1.4120967,0.931845
80331,3.0002582,1.3044889,0.3498789
80332,3.0672457,1.4876188,0.3377466
80333,2.701999,1.415367,0.9240228
80334,3.0148678,1.2406018,0.25421792
80335,3.057555,1.5026261,0.30497527
80336,3.0336373,1.5624986,0.9124684
80337,2.719359,1.4421213,0.9328463
80338,3.0298672,1.2719865,0.314309
80339,3.0184536,1.4317651,0.274556
80340,2.6985002,1.4120343,0.9268395
80341,3.0030832,1.3021123,0.31507045
80342,3.0611138,1.5018393,0.2813969
80343,2.982652,1.5583241,0.87471163
80344,2.703417,1.3896806,0.94667697
80345,3.0005107,1.3059311,0.35896617
80346,3.0727262,1.4554482,0.26316392
80347,2.7032485,1.3891275,0.9449166
80348,3.0261192,1.3150064,0.31941396
80349,3.071955,1.4859337,0.28233862
80350,2.9658825,1.5584346,0.85921335
80351,2.719235,1.4114546,0.93982494
80352,3.030966,1.2712015,0.31630328
80353,3.0594223,1.4603971,0.254883
80354,2.6821377,1.388766,0.92976743
80355,3.004939,1.3092315,0.35164043
80356,3.074139,1.4346416,0.3045385
80357,2.7694368,1.4994999,0.6137665
80358,2.7034812,1.3584784,0.9374477
80359,3.0161784,1.2476622,0.30267847
80360,3.0179424,1.4001588,0.269072
80361,2.721569,1.4195967,0.94699657
80362,3.0312583,1.2718353,0.29681182
80363,3.008612,1.4105738,0.2527733
80364,2.7619839,1.5065862,0.61238813
80365,2.7023005,1.4175555,0.9250563
80366,3.0040972,1.3075882,0.40010732
80367,3.0706418,1.5152065,0.30687362
80368,2.7219958,1.4163827,0.94102216
80369,3.0075428,1.2767751,0.40787292
80370,3.0081613,1.3783345,0.2557302
80371,3.0296102,0.6556187,1.2332393
80372,2.701741,1.4196258,0.96840197
80373,3.0029266,1.3052816,0.33984217
80374,2.6800666,1.3678803,0.79169816
80375,2.9974382,1.3180482,0.36634493
80376,3.0531335,1.4519148,0.22350831
80377,3.0617888,0.6661083,1.1740018
80378,2.6853118,1.3657696,0.9302927
80379,2.9989657,1.2993193,0.301555
80380,3.143775,1.5815649,0.34371468
80381,2.687097,1.3821762,1.0476774
80382,3.011387,1.2392834,0.272421
80383,3.0095286,1.3874942,0.27123278
80384,2.9408271,1.5535607,0.91163486
80385,2.7216141,1.3831403,0.989571
80386,3.0065348,1.2701102,0.29299423
80387,2.6801574,1.4200162,0.9687471
80388,3.0194051,1.3332092,0.37669784
80389,3.010023,1.5791492,0.29523748
80390,3.1737006,1.3352398,0.90850013
80391,2.5201573,1.1550663,0.90521586
80392,3.0247264,1.33357,0.41199946
80393,3.1491888,1.4552231,0.17821549
80394,2.662546,1.3613241,0.9493854
80395,3.0376062,1.3740234,0.42568654
80396,3.1306238,1.5520413,0.21965879
80397,2.9834244,1.5966469,0.8289917
80398,2.7066014,1.4368804,0.93995136
80399,2.9721239,1.1742905,0.3199239
80400,2.6831977,1.3289522,0.9800232
80401,3.0053778,1.268918,0.36927882
80402,3.0696619,1.2235947,0.41599083
80403,3.0118523,1.6899235,0.70755523
80404,2.6992197,1.3564467,0.9684342
80405,3.012433,1.2348355,0.26455918
80406,3.4476159,1.3088635,0.35508925
80407,2.7022512,1.3303568,0.9955289
80408,3.0042,1.3076434,0.31868908
80409,3.391355,1.4816079,0.37404433
80410,2.7223482,1.3591243,0.97303873
80411,3.04244,1.2971206,0.37666222
80412,3.4144633,1.4906956,0.3117246
80413,2.7374406,1.3389274,1.0454458
80414,3.0840487,1.3630694,0.38631767
80415,3.469146,1.4546442,0.5126646
80416,3.1854203,1.3695586,0.64069355
80417,2.8424923,1.4122525,0.9980242
80418,3.1101165,1.3194221,0.34451383
80419,3.4259436,1.4610145,0.5102866
80420,2.8687186,1.4223169,1.0036751
80421,3.141787,1.2939783,0.34711343
80422,3.1666453,1.4332036,0.3437419
80423,2.941557,1.407819,1.0247426
80424,3.4102933,1.2681252,0.49086097
80425,3.2275803,1.4594799,0.40229228
80426,3.0129235,1.4621087,1.1437911
80427,3.528266,1.3448179,0.5102206
80428,3.149458,1.4386092,0.34938228
80429,2.9712365,1.3806491,0.8356456
80430,2.9970164,1.4360819,1.1494838
80431,3.5595272,1.3256755,0.4642233
80432,3.0052757,1.4136297,1.0913675
80433,3.513154,1.3298445,0.470379
80434,3.2352433,1.4726477,0.42793462
80435,2.9335723,1.4093548,0.83931804
80436,3.0100722,1.3564076,1.0896438
80437,3.1836994,1.4462619,0.4443889
80438,3.5064175,1.3285948,0.5397047
80439,3.218416,1.4396445,0.4280672
80440,2.9070783,1.4021715,0.86152285
80441,3.5086868,1.3304332,0.5174844
80442,3.3001502,1.4727954,0.40094814
80443,3.5209818,1.3020502,0.470334
80444,3.3037257,1.3161849,0.36908627
80445,2.9729116,1.4222858,0.7844679
80446,2.9740846,1.3000169,1.0576894
80447,3.55861,1.3172421,0.45477206
80448,3.2191966,1.3278774,0.38956568
80449,2.95389,1.31245,1.0682572
80450,2.8868804,1.3517499,0.77222335
80451,2.9242625,1.2909243,1.0896122
80452,2.9250832,1.3100721,1.0369211
80453,3.529973,1.3809853,0.72498804
80454,2.8102083,1.2899623,0.65373296
