tBodyAcc-mean-X,tBodyAcc-mean-Y,tBodyAcc-mean-Z,tBodyAcc-std-X,tBodyAcc-std-Y,tBodyAcc-std-Z
2.8858451e-001,-2.03E-02,-1.33E-01,-9.95E-01,-9.83E-01,-9.14E-01
2.7841883e-001,-1.64E-02,-1.24E-01,-9.98E-01,-9.75E-01,-9.60E-01
2.7965306e-001,-1.95E-02,-1.13E-01,-9.95E-01,-9.67E-01,-9.79E-01
2.7917394e-001,-2.62E-02,-1.23E-01,-9.96E-01,-9.83E-01,-9.91E-01
2.7662877e-001,-1.66E-02,-1.15E-01,-9.98E-01,-9.81E-01,-9.90E-01
2.7719877e-001,-1.01E-02,-1.05E-01,-9.97E-01,-9.90E-01,-9.95E-01
2.7945388e-001,-1.96E-02,-1.10E-01,-9.97E-01,-9.67E-01,-9.83E-01
2.7743247e-001,-3.05E-02,-1.25E-01,-9.97E-01,-9.67E-01,-9.82E-01
2.7729342e-001,-2.18E-02,-1.21E-01,-9.97E-01,-9.61E-01,-9.84E-01
2.8058569e-001,-9.96E-03,-1.06E-01,-9.95E-01,-9.73E-01,-9.86E-01
2.7688027e-001,-1.27E-02,-1.03E-01,-9.95E-01,-9.73E-01,-9.85E-01
2.7622817e-001,-2.14E-02,-1.08E-01,-9.98E-01,-9.87E-01,-9.93E-01
2.7845700e-001,-2.04E-02,-1.13E-01,-9.99E-01,-9.85E-01,-9.96E-01
2.7717497e-001,-1.47E-02,-1.07E-01,-9.99E-01,-9.91E-01,-9.93E-01
2.9794572e-001,2.7093908e-002,-6.17E-02,-9.89E-01,-8.17E-01,-9.02E-01
2.7920345e-001,-2.30E-02,-1.22E-01,-9.97E-01,-9.75E-01,-9.83E-01
2.7903836e-001,-1.48E-02,-1.17E-01,-9.97E-01,-9.82E-01,-9.83E-01
2.8013490e-001,-1.39E-02,-1.06E-01,-9.98E-01,-9.88E-01,-9.90E-01
2.7773106e-001,-1.82E-02,-1.09E-01,-9.97E-01,-9.93E-01,-9.96E-01
2.7556818e-001,-1.70E-02,-1.11E-01,-9.98E-01,-9.91E-01,-9.98E-01
2.7756171e-001,-1.43E-02,-1.08E-01,-9.98E-01,-9.94E-01,-9.96E-01
2.7715238e-001,-1.80E-02,-1.07E-01,-9.98E-01,-9.90E-01,-9.97E-01
2.7567630e-001,-2.13E-02,-1.11E-01,-9.98E-01,-9.90E-01,-9.95E-01
2.7920020e-001,-1.77E-02,-1.09E-01,-9.98E-01,-9.87E-01,-9.91E-01
2.8171549e-001,-1.19E-02,-1.03E-01,-9.99E-01,-9.88E-01,-9.93E-01
2.7899267e-001,-1.45E-02,-1.07E-01,-9.98E-01,-9.86E-01,-9.93E-01
2.7573444e-001,-1.80E-02,-1.07E-01,-9.99E-01,-9.94E-01,-9.94E-01
1.4450396e-001,1.8926326e-001,6.2769317e-002,-9.04E-01,-1.82E-01,-4.43E-01
2.8725164e-001,-3.75E-02,-1.46E-01,-9.83E-01,-8.92E-01,-9.41E-01
2.7999760e-001,-1.95E-02,-1.06E-01,-9.93E-01,-9.40E-01,-9.81E-01
2.2184689e-001,3.4107675e-002,-1.24E-01,-8.15E-01,-7.49E-01,-5.72E-01
-4.17E-02,1.7510248e-001,2.5551778e-002,-7.58E-01,-5.87E-01,-4.39E-01
1.3903671e-002,1.5329608e-001,1.6242945e-002,-8.09E-01,-5.73E-01,-6.26E-01
3.0368927e-001,-4.24E-03,-1.51E-01,-9.57E-01,-8.39E-01,-9.43E-01
2.9075969e-001,-2.40E-02,-1.17E-01,-9.77E-01,-9.64E-01,-9.63E-01
2.7090823e-001,-1.44E-02,-1.07E-01,-9.94E-01,-9.93E-01,-9.93E-01
2.7955340e-001,-1.70E-02,-1.11E-01,-9.96E-01,-9.96E-01,-9.98E-01
2.7635864e-001,-1.61E-02,-1.08E-01,-9.96E-01,-9.95E-01,-9.95E-01
2.3715407e-001,7.8251224e-003,-1.23E-01,-9.80E-01,-8.66E-01,-9.68E-01
2.7310840e-001,6.5181116e-003,-1.09E-01,-9.91E-01,-9.35E-01,-9.91E-01
2.8150539e-001,-1.84E-02,-1.11E-01,-9.95E-01,-9.84E-01,-9.91E-01
2.7843225e-001,-1.97E-02,-1.08E-01,-9.94E-01,-9.85E-01,-9.92E-01
2.7337960e-001,-9.94E-03,-1.08E-01,-9.96E-01,-9.82E-01,-9.93E-01
2.7905615e-001,-1.63E-02,-1.13E-01,-9.95E-01,-9.70E-01,-9.89E-01
2.7859910e-001,-1.99E-02,-1.11E-01,-9.95E-01,-9.79E-01,-9.88E-01
2.7328142e-001,-1.11E-02,-1.06E-01,-9.96E-01,-9.89E-01,-9.93E-01
2.7853812e-001,-1.62E-02,-1.10E-01,-9.97E-01,-9.83E-01,-9.95E-01
2.7746121e-001,-1.75E-02,-1.06E-01,-9.96E-01,-9.85E-01,-9.91E-01
2.7394057e-001,-1.31E-02,-1.05E-01,-9.96E-01,-9.88E-01,-9.88E-01
2.7930326e-001,-2.05E-02,-1.13E-01,-9.96E-01,-9.81E-01,-9.93E-01
2.7908720e-001,-1.91E-02,-1.06E-01,-9.96E-01,-9.79E-01,-9.91E-01
4.0347433e-001,-1.51E-02,-1.18E-01,-9.15E-01,-8.95E-01,-8.92E-01
2.7837321e-001,-2.06E-02,-9.68E-02,-9.85E-01,-9.91E-01,-9.82E-01
2.7655526e-001,-1.79E-02,-1.08E-01,-9.94E-01,-9.96E-01,-9.96E-01
