,tBodyAcc-mean-X,tBodyAcc-mean-Y,tBodyAcc-mean-Z
1487,0.2733815,0.008162794,-0.0798
1488,0.3710844,0.06908941,0.10316
1489,0.27968243,-0.0322,-0.129
1490,0.27635026,-0.0172,-0.126
1491,0.28385004,-0.019,-0.124
1492,0.27531782,-0.0274,-0.12
1493,0.2726987,-0.0187,-0.0988
1494,0.28169838,-0.00842,-0.104
1495,0.2814656,-0.0107,-0.127
1496,0.27687725,-0.016,-0.109
1497,0.27761614,-0.00964,-0.0866
1498,0.27523062,-0.0155,-0.0887
1499,0.27653188,-0.0169,-0.0962
1500,0.27643397,-0.0086,-0.105
1501,0.29395446,0.094589695,-0.0328
1502,0.28080907,-0.0479,-0.201
1503,0.28338948,-0.028,-0.127
1504,0.27623248,-0.0214,-0.0758
1505,0.27311167,-0.0312,-0.0779
1506,0.28241578,-0.00801,-0.135
1507,0.28150037,-0.000122,-0.135
1508,0.27538696,-0.0185,-0.113
1509,0.27670386,-0.0143,-0.11
1510,0.27975208,-0.0147,-0.112
1511,0.27740467,-0.0155,-0.106
1512,0.2759662,-0.0163,-0.106
1513,0.47370803,-0.0497,-0.503
1514,0.21051654,0.009155389,-0.0513
1515,0.29242164,-0.0125,-0.103
1516,0.27706766,-0.0121,-0.103
1517,0.27539322,-0.0141,-0.112
1518,0.27712095,-0.0146,-0.109
1519,0.27693304,-0.015,-0.109
1520,0.27618858,-0.0156,-0.108
1521,0.27559206,-0.0144,-0.101
1522,0.27694535,-0.0173,-0.106
1523,-0.284,-0.103,0.059291337
1524,0.3346398,-0.00284,-0.135
1525,0.25958788,-0.0239,-0.0978
1526,0.25552392,-0.016,-0.11
1527,0.26295125,-0.00801,-0.119
1528,0.23824169,-0.0221,-0.102
1529,0.29859784,-0.0202,-0.103
1530,0.2956968,-0.0153,-0.108
1531,0.24598338,-0.0233,-0.104
1532,0.26939607,-0.0184,-0.108
1533,0.27976143,-0.017,-0.11
1534,0.28612083,-0.0166,-0.112
1535,0.2890526,-0.016,-0.109
1536,0.26514184,-0.0693,-0.0271
1537,0.28518555,-0.0117,-0.113
1538,0.25916117,-0.0176,-0.108
1539,0.271093,-0.0189,-0.105
1540,0.27334163,-0.0183,-0.106
1541,0.28591084,-0.0171,-0.112
1542,0.24683386,-0.019,-0.106
1543,0.28411782,-0.0172,-0.105
1544,0.2697152,-0.0168,-0.108
1545,0.27676272,-0.0167,-0.111
1546,0.27636984,-0.0188,-0.109
1547,0.31094277,-0.0108,-0.114
1548,0.25333264,-0.067,-0.162
1549,0.20944485,0.013031885,-0.0736
1550,0.30035904,-0.0159,-0.0853
1551,0.22480068,-0.0307,-0.127
1552,0.27832448,-0.0176,-0.1
1553,0.35059944,-0.0401,-0.144
1554,0.20145248,-0.00185,-0.0978
1555,0.3015924,-0.00592,-0.071
1556,0.30890736,-0.0373,-0.135
1557,0.2650731,-0.00755,-0.0967
1558,0.32009774,-0.0117,-0.127
1559,0.2147671,-0.0182,-0.103
1560,0.30210024,-0.0183,-0.0819
1561,0.36374754,-0.0223,-0.147
1562,0.2046162,-0.0673,-0.14
1563,0.23832071,0.002102952,-0.0499
1564,0.35929465,-0.0166,-0.124
1565,0.24471428,-0.0315,-0.181
1566,0.2693013,0.007891765,-0.0507
1567,0.3191731,-0.0379,-0.0878
1568,0.21173376,-0.0384,-0.135
1569,0.31754982,-0.014,-0.0963
1570,0.25960147,-0.0141,-0.11
1571,0.29528496,-0.0104,-0.105
1572,0.31950557,-0.0244,-0.114
1573,0.18424891,0.004085412,-0.0966
1574,0.34414765,-0.0299,-0.133
1575,0.35403836,-0.0327,-0.13
1576,0.41498813,-0.0232,-0.0983
1577,0.4348795,-0.0164,-0.0779
1578,0.230217,-0.0204,-0.139
1579,0.12793753,-0.0238,-0.0995
1580,0.2652551,-0.0231,-0.124
1581,0.38229653,-0.0372,-0.138
1582,0.26659054,0.008940066,-0.0377
1583,0.23144934,0.0032976328,-0.114
1584,0.3445352,-0.055,-0.00915
1585,0.17921646,-0.0322,-0.11
1586,0.37270194,-0.0396,-0.112
1587,0.3877346,0.0034768202,-0.095
1588,0.15153106,0.013647413,-0.0893
1589,0.34272116,-0.0302,-0.0892
1590,0.27587965,-0.0248,-0.107
1591,0.35751024,-0.0222,0.013010512
1592,0.23731516,-0.0601,-0.114
1593,0.29636604,-0.0525,-0.149
1594,0.24282283,0.03432031,-0.116
1595,0.3567819,0.008701016,-0.1
1596,0.31878147,-0.0357,-0.0623
1597,0.1713487,-0.0119,-0.0861
1598,0.2250419,-0.0913,-0.37
1599,0.10524548,-0.0545,-0.365
1600,0.13452443,-0.0274,-0.134
1601,0.25415042,0.009953263,-0.0678
1602,0.27599576,-0.00634,-0.0747
1603,0.3048461,-0.0113,-0.0989
1604,0.40741503,-0.026,-0.113
1605,0.32866997,-0.047,-0.101
1606,0.2610577,-0.028,-0.0768
1607,0.05737817,-0.129,-0.334
1608,0.23497768,-0.0678,-0.211
1609,0.39776367,-0.0126,-0.078
1610,0.28118816,0.009539494,-0.0299
1611,0.19202015,-0.00463,-0.132
1612,0.24174824,-0.0242,-0.114
1613,0.31663465,-0.0307,-0.0905
1614,0.28618607,-0.0499,-0.117
1615,0.11356913,-0.0808,-0.318
1616,0.20329341,-0.0422,-0.181
1617,0.31615737,-0.0415,-0.141
1618,0.22936232,-0.00757,-0.12
1619,0.17176011,-0.0186,-0.0915
1620,0.30474263,0.0055413297,-0.101
1621,0.39329743,0.010753262,-0.147
1622,0.28463596,-0.0378,-0.171
1623,0.3006571,0.030198129,0.0580083
1624,0.27051318,-0.0348,-0.104
1625,0.27474642,-0.0378,-0.135
1626,0.27928445,-0.0399,-0.13
1627,0.27683604,-0.00804,-0.0986
1628,0.27747324,-0.00465,-0.0906
1629,0.27674478,-0.0219,-0.094
1630,0.27524865,-0.0115,-0.0948
1631,0.27797556,-0.0167,-0.11
1632,0.2794546,-0.0152,-0.112
1633,0.27735415,-0.0108,-0.114
1634,0.27597746,-0.0205,-0.114
1635,0.2782997,-0.0191,-0.114
1636,0.31260452,0.041670598,-0.0782
1637,0.2723979,-0.019,-0.101
1638,0.28019422,-0.0185,-0.105
1639,0.2800252,-0.0165,-0.0997
1640,0.27897304,-0.0156,-0.104
1641,0.27674273,-0.015,-0.107
1642,0.27666968,-0.0184,-0.106
1643,0.27847525,-0.0167,-0.101
1644,0.27672383,-0.0151,-0.109
1645,0.032150853,0.23568715,-0.0774
1646,0.29600096,-0.039,-0.171
1647,0.27244326,-0.00651,-0.116
1648,0.2650514,-0.00582,-0.112
1649,0.28305972,-0.0205,-0.111
1650,0.284576,-0.0209,-0.107
1651,0.29054943,-0.0207,-0.112
1652,0.2852583,-0.0182,-0.116
1653,0.38325417,-0.0608,-0.231
1654,0.26265734,0.0033490227,-0.137
1655,0.28241283,-0.0129,-0.116
1656,0.27247712,-0.00712,-0.115
1657,0.27076042,-0.0111,-0.107
1658,0.27654114,-0.0151,-0.107
