,P4,Cz,F8,T7
286,-3.325341,-1.1014104,0.7411713,2.5433767
288,-5.686571,-5.4546056,4.8359704,-1.6065482
290,-6.8757787,-8.2314825,7.561237,-2.2177298
298,2.3638515,-1.5342691,7.248161,3.6497157
302,2.899761,-1.4194052,-0.60051906,3.9652247
314,0.17995483,2.0087802,7.3234525,3.2644536
322,4.768621,3.0734482,-1.0603153,3.1435695
323,3.9841518,5.9640727,-0.097048976,4.421342
324,2.3648298,5.7869763,-1.2789507,5.6690164
326,-1.092137,4.5732203,-1.2305915,6.2572813
327,-1.4981555,5.2206616,-1.5994647,6.990229
329,-0.82710755,3.679747,-6.0817885,5.818129
331,3.3455493,2.691033,-1.2909906,2.1361504
335,-1.0724553,-1.3662465,1.6365892,-5.4133577
339,-0.72486115,2.7579932,1.2386856,-4.3425875
344,1.9472886,1.2598807,-6.391695,4.6900334
348,0.2547753,-4.392184,0.4308571,-1.371555
351,-2.2796283,-2.8334746,0.81839037,-4.971783
352,-2.9871233,-3.7743683,3.4605746,-7.1376896
358,-8.780455,-0.99987525,1.259592,0.55852
359,-6.1878448,-2.208731,2.0580635,1.2630185
361,-2.0607362,1.1772479,1.3375355,2.7372763
368,4.7473826,-0.5672701,1.4551213,2.0235054
369,3.1393209,-4.0836434,0.49659804,0.7347964
370,3.7252579,-4.777592,-2.936177,0.7889443
371,2.6383207,-3.7704737,-3.898663,2.2211065
374,-0.41807473,2.0519314,2.4833043,0.3624642
375,-1.3298913,1.4114884,1.4960978,-0.43795684
379,-6.472841,0.09128045,1.1887615,-3.4870646
380,-8.938483,-3.2407963,2.2728562,-3.2406998
385,1.5146265,-3.7574072,0.1952933,1.7643197
386,3.3482604,-3.4514565,-0.99844974,4.716827
389,5.2735662,-0.58874327,-1.4295496,5.3496976
390,6.263786,0.40683106,-2.578546,3.1467822
394,-0.37415555,-1.5251883,-8.016997,0.8322565
395,1.1162065,-2.053203,-5.55082,0.80456734
400,8.283671,10.216508,-6.2768097,3.1417453
402,8.425535,10.09422,-7.9553256,2.3016577
405,2.0189385,0.3286394,-6.0791693,1.9686859
409,-6.5754604,-8.269585,4.544986,0.85175127
415,1.8503841,7.240018,-2.7882907,7.15743
417,-1.029152,-0.82432276,-8.595552,2.0756388
420,-0.8832063,-3.5211594,-3.8392599,5.450853
421,-0.42493832,-1.7518079,-5.9326034,6.0518446
423,0.13410631,-1.6889938,-6.040082,0.5211284
424,0.0005709761,-2.3174107,-6.329902,-2.694992
426,1.4551408,-1.542844,-2.315054,-1.3603568
429,-1.0541549,1.5752454,-1.7388139,-3.510193
430,-0.79856783,2.0646765,-1.8694959,-4.8280787
433,-0.27919707,0.6193946,2.9015927,-7.5923114
436,2.975149,2.285565,0.50244266,-3.9024668
440,2.626931,1.7208415,-2.9152915,2.6801085
444,0.099665284,-0.96712935,1.0011578,0.80068064
446,-1.8268335,-0.1474892,-1.9090157,1.6007721
448,-1.2567888,3.0331283,-7.0881643,-1.3788214
449,-1.2759277,1.9581263,-6.391715,-2.9684138
451,-2.8839676,0.34682226,-6.108997,-4.5914984
452,-2.5300674,0.69653165,-4.8528523,-3.9328184
454,1.4374124,2.021608,3.2135623,0.50145155
456,4.928915,3.9755464,0.091966614,3.008113
459,7.007295,8.111026,-7.5536385,6.649722
